Language_ID	AUTOTYP_area	Longitude	Latitude
anin1242	African Savannah	8.51	9.08
anip1235	Southeast Asia	103.6	23.7
anja1238	N Coast New Guinea	145.717	-5.45899
anka1246	S New Guinea	145.754	-7.19444
anma1239	S Australia	133.286	-22.2853
anor1241	N Coast New Guinea	144.801	-4.98449
anse1238	Andean	-76.05	6.24999
ansu1237	N Coast New Guinea	135.866	-1.7543
anta1253	S Australia	134.838	-27.1152
anta1255	S Africa	49.2402	-13.2164
anti1242	Andean	-75.342236	7.199341
anti1245	Mesoamerica	-61.821863	17.068263
anua1242	Greater Abyssinia	34.0267	7.57714
anuf1239	African Savannah	0.56021	10.2839
anuk1239	S New Guinea	149.822	-9.6692
anus1237	N Coast New Guinea	139.502	-2.2627100000000002
anut1237	Oceania	169.85	-11.61
anuu1241	Indic	93.05	21.5
anyi1244	African Savannah	-4.64232	6.1627
anyi1245	African Savannah	-3.30532	6.31781
anyi1247	Southeast Asia	115.54773	28.84359
aohe1237	Southeast Asia	114.127	0.87404
aona1235	Southeast Asia	94.3824	26.3241
aore1237	Oceania	167.166	-15.5753
aoua1234	Southeast Asia	105.85	26.8
apal1237	E North America	-84.416	30.118
apal1255	N Coast New Guinea	149.96	-6.29002
apal1256	N Coast New Guinea	145.023	-5.1727
apal1257	NE South America	-54.7457	1.49792
apas1235	Mesoamerica	-97.0657	17.6143
apat1240	Indic	93.7284	27.1933
apia1247	NE South America	-49.771729	-6.5
apia1248	NE South America	-57.91	-7.84711
apin1244	NE South America	-47.6315	-6.10774
apma1240	Oceania	168.189	-15.8559
apma1241	N Coast New Guinea	144.085	-4.35147
apol1242	Andean	-68.66	-14.83
apro1235	African Savannah	-4.52192	5.20273
apuc1241	Southeast Asia	92.7965	12.241
apul1236	Europe	18.166667	40.35
apul1237	Europe	18.28318	40.24882
apur1254	NE South America	-66.7714	-8.21692
aput1237	Oceania	126.496	-7.84732
arab1267	S Australia	135.449	-28.705
arab1268	NE South America	-75.0612	-1.96126
arab1399	Greater Mesopotamia	35.29	32.8875
araf1245	N Coast New Guinea	143.298006	-5.101836
arag1245	Europe	-0.00919	42.4669
arai1239	NE South America	-67.2052	-3.104315
arak1252	Oceania	166.952542	-15.632997
aral1243	Oceania	119.319	-2.78397
aram1252	S Africa	37.3491	-2.90656
aram1253	S New Guinea	141.445	-8.29593
aram1260	African Savannah	-16.373202	12.299274
